Date,Open,High,Low,Close*,Adj Close**,Volume
2021-12-31,357.81,360.67,351.53,352.26,352.26,40331061.0
2021-12-30,353.78,365.18,351.05,356.78,356.78,47040939.0
2021-12-29,366.21,368.0,354.71,362.06,362.06,56154045.0
2021-12-28,369.83,373.0,359.47,362.82,362.82,60323907.0
2021-12-27,357.89,372.33,356.91,364.65,364.65,71145819.0
2021-12-23,335.6,357.66,332.52,355.67,355.67,92713287.0
2021-12-22,321.89,338.55,319.02,336.29,336.29,93634086.0
2021-12-21,305.62,313.17,295.37,312.84,312.84,71517915.0
2021-12-20,303.57,307.23,297.8,299.98,299.98,56480013.0
2021-12-17,304.92,320.22,303.01,310.86,310.86,100880262.0
2021-12-16,331.5,331.66,307.28,308.97,308.97,82771449.0
2021-12-15,317.74,326.25,309.42,325.33,325.33,75169230.0
2021-12-14,315.0,322.14,310.0,319.5,319.5,70806270.0
2021-12-13,333.7,335.0,317.14,322.14,322.14,78595506.0
2021-12-10,336.25,340.33,327.51,339.01,339.01,59664366.0
2021-12-09,353.55,354.16,334.12,334.6,334.6,59438496.0
2021-12-08,350.9,357.46,344.33,356.32,356.32,41906370.0
2021-12-07,348.07,352.56,342.27,350.58,350.58,56084571.0
2021-12-06,333.84,340.55,316.83,336.34,336.34,81663111.0
2021-12-03,361.6,363.53,333.4,338.32,338.32,92321985.0
2021-12-02,366.35,371.0,352.22,361.53,361.53,73114869.0
2021-12-01,386.9,390.95,363.59,365.0,365.0,68804094.0
2021-11-30,381.46,389.33,372.67,381.59,381.59,81276114.0
2021-11-29,367.0,380.89,366.73,379.0,379.0,58393401.0
2021-11-26,366.49,369.59,360.33,360.64,360.64,35042670.0
2021-11-24,360.13,377.59,354.0,372.0,372.0,67680714.0
2021-11-23,389.17,393.5,354.23,369.68,369.68,108515100.0
2021-11-22,387.44,400.65,377.48,385.62,385.62,99217527.0
2021-11-19,366.29,379.57,364.23,379.02,379.02,64926774.0
2021-11-18,368.85,370.67,358.34,365.46,365.46,62696790.0
2021-11-17,354.5,373.21,351.83,363.0,363.0,94336095.0
2021-11-16,334.44,352.4,334.06,351.58,351.58,79627077.0
2021-11-15,339.21,343.99,326.2,337.8,337.8,104326947.0
2021-11-12,349.17,351.5,339.73,344.47,344.47,76719444.0
2021-11-11,367.59,368.32,351.56,354.5,354.5,67189704.0
2021-11-10,336.8,359.37,329.1,355.98,355.98,128408166.0
2021-11-09,391.2,391.5,337.17,341.17,341.17,177317508.0
2021-11-08,383.26,399.0,377.67,387.65,387.65,100337145.0
2021-11-05,409.33,413.29,402.67,407.36,407.36,64886436.0
2021-11-04,411.47,414.5,405.67,409.97,409.97,76192230.0
2021-11-03,392.44,405.13,384.21,404.62,404.62,103885557.0
2021-11-02,386.45,402.86,382.0,390.67,390.67,128213391.0
2021-11-01,381.67,403.25,372.89,402.86,402.86,168146148.0
2021-10-29,360.62,371.74,357.73,371.33,371.33,89755251.0
2021-10-28,356.1,360.33,351.4,359.01,359.01,81639519.0
2021-10-27,346.55,356.96,343.59,345.95,345.95,115579377.0
