Date,Open,High,Low,Close*,Adj Close**,Volume,neu,pos,neg,compound
2019-12-30,28.59,28.6,27.28,27.65,27.65,189018975.0,0.741,0.259,0.0,0.6808
2019-12-27,29.0,29.02,28.41,28.69,28.69,149352405.0,0.6705,0.2575,0.072,0.43445
2019-12-24,27.89,28.36,27.51,28.35,28.35,120820800.0,0.8454999999999999,0.1085,0.046,0.2523
2019-12-17,25.27,25.7,25.06,25.27,25.27,127556625.0,0.769,0.231,0.0,0.7102
2019-12-16,24.17,25.57,24.17,25.43,25.43,273314100.0,1.0,0.0,0.0,0.0
2019-12-12,23.66,24.18,23.55,23.98,23.98,116643165.0,0.7355,0.2645,0.0,0.57955
2019-12-11,23.46,23.81,23.41,23.51,23.51,103787430.0,0.694,0.0,0.306,-0.296
2019-12-09,22.44,22.96,22.34,22.64,22.64,135603255.0,0.775,0.225,0.0,0.4939
2019-12-06,22.33,22.59,22.32,22.39,22.39,114284055.0,1.0,0.0,0.0,0.0
2019-12-04,22.52,22.52,22.19,22.2,22.2,83043825.0,0.76,0.152,0.088,0.3818
2019-12-02,21.96,22.43,21.91,22.32,22.32,91229790.0,0.812,0.188,0.0,0.4588
2019-11-25,22.95,22.97,22.3,22.42,22.42,185186475.0,0.866,0.105,0.028,0.6249
2019-11-22,22.68,22.73,22.0,22.2,22.2,253059630.0,0.8665,0.0905,0.043,0.3359
2019-11-21,23.63,24.06,23.6,23.66,23.66,91650195.0,0.819,0.181,0.0,0.6369
2019-11-15,23.38,23.52,23.22,23.48,23.48,72188445.0,0.711,0.063,0.226,-0.7351
2019-11-13,23.67,23.76,23.01,23.07,23.07,127017945.0,0.53,0.47,0.0,0.7351
2019-11-12,23.13,23.36,22.94,23.33,23.33,110390745.0,1.0,0.0,0.0,0.0
2019-11-11,22.93,23.28,22.8,23.01,23.01,149905335.0,0.72,0.28,0.0,0.8658
2019-11-07,21.94,22.77,21.87,22.37,22.37,217010220.0,0.718,0.282,0.0,0.7806
2019-11-01,21.09,21.1,20.65,20.89,20.89,95758935.0,0.699,0.0,0.301,-0.6486
2019-10-30,20.87,21.25,20.66,21.0,21.0,144627150.0,1.0,0.0,0.0,0.0
2019-10-29,21.33,21.62,20.98,21.08,21.08,190264005.0,0.855,0.09766666666666667,0.04733333333333333,0.07939999999999998
2019-10-25,19.85,22.0,19.74,21.88,21.88,450091365.0,0.601,0.3146666666666667,0.08466666666666667,0.5005000000000001
2019-10-24,19.89,20.33,19.28,19.98,19.98,447288465.0,0.423,0.345,0.232,0.1531
2019-10-23,16.97,17.08,16.76,16.98,16.98,168242730.0,1.0,0.0,0.0,0.0
2019-10-22,16.95,17.22,16.72,17.04,17.04,69376425.0,0.724,0.0,0.276,-0.28545
2019-10-21,17.22,17.3,16.68,16.9,16.9,76621515.0,1.0,0.0,0.0,0.0
2019-10-18,17.38,17.52,17.01,17.13,17.13,86304990.0,1.0,0.0,0.0,0.0
2019-10-16,17.16,17.47,17.13,17.32,17.32,100564545.0,1.0,0.0,0.0,0.0
2019-10-07,15.32,15.9,15.24,15.85,15.85,121304355.0,0.692,0.0,0.308,-0.8658
2019-10-04,15.44,15.65,15.2,15.43,15.43,120317700.0,0.719,0.281,0.0,0.5106
2019-10-03,15.46,15.63,14.95,15.54,15.54,227066445.0,1.0,0.0,0.0,0.0
2019-10-02,16.22,16.31,15.96,16.21,16.21,93848220.0,0.617,0.154,0.228,-0.296
2019-09-26,15.38,16.22,15.16,16.17,16.17,181181775.0,0.617,0.0,0.383,-0.4767
2019-09-25,14.97,15.27,14.56,15.25,15.25,141664290.0,0.815,0.0,0.185,-0.6486
2019-09-23,16.0,16.35,15.95,16.08,16.08,65874450.0,0.674,0.326,0.0,0.4404
2019-09-20,16.43,16.46,15.88,16.04,16.04,97593960.0,1.0,0.0,0.0,0.0
2019-09-19,16.4,16.53,16.32,16.44,16.44,73247025.0,0.61,0.39,0.0,0.9136
2019-09-10,15.39,15.7,15.26,15.7,15.7,73255710.0,1.0,0.0,0.0,0.0
2019-09-09,15.33,15.58,15.28,15.45,15.45,72040035.0,0.551,0.449,0.0,0.8625
2019-09-05,14.83,15.32,14.72,15.31,15.31,111049830.0,0.8905000000000001,0.10950000000000001,0.0,0.23775000000000002
2019-08-27,14.38,14.59,14.14,14.27,14.27,81310905.0,0.9495,0.0505,0.0,0.20095
2019-08-23,14.66,14.74,14.07,14.09,14.09,128395560.0,0.839,0.09,0.071,0.1531
2019-08-19,14.95,15.19,14.78,15.12,15.12,79676220.0,1.0,0.0,0.0,0.0
